FileName,DateTimeOriginal,Make,Model,LensModel,ISO,ShutterSpeedValue,ApertureValue,FocalLength,ImageWidth,ImageHeight,GPSLongitudeRef,GPSLatitudeRef,GPSLatitude,GPSLongitude,GPSLatitudeFixed,GPSLongitudeFixed,Location,FilePath
2025-08-18T18-49-56+00-00_IMG_5798.jpg,2025:08:18 18:49:56,Apple,iPhone 13 Pro,iPhone 13 Pro back triple camera 5.7mm f/1.5,160,0.0165790000429951,1.50000000028992,5.7,N/A,N/A,W,N,35.7199055555556,79.1567388888889,35.7199055555556,-79.1567388888889,"Pittsboro, Chatham County, North Carolina, United States",./attachments\2025-08-18T18-49-56+00-00_IMG_5798.jpg
2025-08-18T18-51-08+00-00_IMG_5799.jpg,2025:08:18 18:51:08,Apple,iPhone 13 Pro,iPhone 13 Pro back triple camera 5.7mm f/1.5,50,0.000407000001426897,1.50000000028992,5.7,N/A,N/A,W,N,35.7198861111111,79.1567777777778,35.7198861111111,-79.1567777777778,"Pittsboro, Chatham County, North Carolina, United States",./attachments\2025-08-18T18-51-08+00-00_IMG_5799.jpg
